team,player_name
Sunrisers Hyderabad,Onkar Tarmale
Sunrisers Hyderabad,Amit Kumar
Sunrisers Hyderabad,Praful Hinge
Sunrisers Hyderabad,Krains Fuletra
Sunrisers Hyderabad,Liam Livingstone
Sunrisers Hyderabad,Shivam Mavi
Sunrisers Hyderabad,Jack Edwards
Royal Challengers Bengaluru,Rajat Patidar
Royal Challengers Bengaluru,Virat Kohli
Royal Challengers Bengaluru,Devdutt Padikkal
Royal Challengers Bengaluru,Phil Salt
Royal Challengers Bengaluru,Jitesh Sharma
Royal Challengers Bengaluru,Krunal Pandya
Royal Challengers Bengaluru,Swapnil Singh
Royal Challengers Bengaluru,Tim David
Royal Challengers Bengaluru,Romario Shepherd
Royal Challengers Bengaluru,Jacob Bethell
Royal Challengers Bengaluru,Josh Hazlewood
Royal Challengers Bengaluru,Yash Dayal
Royal Challengers Bengaluru,Bhuvneshwar Kumar
Royal Challengers Bengaluru,Nuwan Thushara
Royal Challengers Bengaluru,Rasikh Salam
Royal Challengers Bengaluru,Abhinandan Singh
Royal Challengers Bengaluru,Suyash Sharma
Royal Challengers Bengaluru,Venkatesh Iyer
Royal Challengers Bengaluru,Jacob Duffy
Royal Challengers Bengaluru,Satvik Deswal
Royal Challengers Bengaluru,Mangesh Yadav
Royal Challengers Bengaluru,Jordan Cox
Royal Challengers Bengaluru,Vicky Ostwal
Royal Challengers Bengaluru,Vihaan Malhotra
Royal Challengers Bengaluru,Kanishk Chouhan
Rajasthan Royals,Ravindra Jadeja
Rajasthan Royals,Sam Curran
Rajasthan Royals,Donovan Ferreira
Rajasthan Royals,Sandeep Sharma
Rajasthan Royals,Shubham Dubey
Rajasthan Royals,Vaibhav Suryavanshi
Rajasthan Royals,Lhuan-Dre Pretorius
Rajasthan Royals,Shimron Hetmyer
Rajasthan Royals,Yashasvi Jaiswal
Rajasthan Royals,Dhruv Jurel
Rajasthan Royals,Riyan Parag
Rajasthan Royals,Yudhvir Singh Charak
Rajasthan Royals,Jofra Archer
Rajasthan Royals,Tushar Deshpande
Rajasthan Royals,Kwena Maphaka
Rajasthan Royals,Nandre Burger
Rajasthan Royals,Ravi Bishnoi
Rajasthan Royals,Sushant Mishra
Rajasthan Royals,Yash Raj Punja
Rajasthan Royals,Vignesh Puthur
Rajasthan Royals,Ravi Singh
Rajasthan Royals,Aman Rao
Rajasthan Royals,Brijesh Sharma
Rajasthan Royals,Adam Milne
Rajasthan Royals,Kuldeep Sen
Delhi Capitals,Nitish Rana
Delhi Capitals,Abishek Porel
Delhi Capitals,Ajay Mandal
Delhi Capitals,Ashutosh Sharma
Delhi Capitals,Axar Patel
Delhi Capitals,Dushmantha Chameera
Delhi Capitals,Karun Nair
Delhi Capitals,KL Rahul
Delhi Capitals,Kuldeep Yadav
Delhi Capitals,Madhav Tiwari
Delhi Capitals,Mitchell Starc
Delhi Capitals,Sameer Rizvi
Delhi Capitals,T Natarajan
Delhi Capitals,Tripurana Vijay
Delhi Capitals,Tristan Stubbs
Delhi Capitals,Vipraj Nigam
Delhi Capitals,David Miller
Delhi Capitals,Ben Duckett
Delhi Capitals,Auqib Nabi
Delhi Capitals,Pathum Nissanka
Delhi Capitals,Lungi Ngidi
Delhi Capitals,Sahil Parakh
Delhi Capitals,Prithvi Shaw
Delhi Capitals,Kyle Jamieson
